Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Jun 14, 2021",$38.70,$40.48,$36.81,$38.71,"$477,871,463","$10,554,627,165",SOL
"Jun 13, 2021",$36.51,$39.36,$34.78,$38.77,"$452,988,674","$10,570,271,764",SOL
"Jun 12, 2021",$36.16,$37.61,$34.32,$36.44,"$549,070,417","$9,935,368,469",SOL
"Jun 11, 2021",$41.11,$41.31,$35.31,$36.05,"$518,666,603","$9,827,512,516",SOL
"Jun 10, 2021",$42.02,$43.00,$39.60,$41.10,"$595,246,689","$11,205,036,431",SOL
"Jun 09, 2021",$41.28,$44.00,$39.37,$42.03,"$1,218,831,041","$11,459,435,797",SOL
"Jun 08, 2021",$38.25,$42.48,$33.69,$41.52,"$1,786,996,802","$11,319,309,882",SOL
"Jun 07, 2021",$42.25,$44.10,$38.09,$38.26,"$923,157,614","$10,431,744,177",SOL
"Jun 06, 2021",$39.75,$43.38,$38.96,$42.31,"$794,387,364","$11,534,847,408",SOL
"Jun 05, 2021",$37.42,$42.82,$37.10,$39.59,"$1,112,426,664","$10,792,461,951",SOL
"Jun 04, 2021",$39.58,$39.61,$34.31,$37.42,"$1,056,279,506","$10,200,748,813",SOL
"Jun 03, 2021",$34.02,$41.15,$33.79,$39.47,"$960,056,106","$10,761,246,545",SOL
"Jun 02, 2021",$30.94,$35.04,$30.43,$33.96,"$497,567,418","$9,257,762,745",SOL
"Jun 01, 2021",$32.77,$33.29,$29.88,$30.99,"$432,053,117","$8,447,741,687",SOL
"May 31, 2021",$28.60,$32.98,$27.52,$32.82,"$534,826,504","$8,946,936,843",SOL
"May 30, 2021",$27.41,$29.75,$25.65,$28.60,"$359,661,704","$7,798,155,351",SOL
"May 29, 2021",$29.00,$30.02,$25.75,$27.38,"$376,859,866","$7,463,837,085",SOL
"May 28, 2021",$33.68,$34.50,$28.07,$29.04,"$600,255,582","$7,917,193,697",SOL
"May 27, 2021",$35.48,$35.53,$31.13,$33.58,"$649,389,058","$9,156,416,571",SOL
"May 26, 2021",$30.05,$37.24,$29.01,$35.54,"$1,069,991,365","$9,689,483,978",SOL
"May 25, 2021",$31.40,$33.13,$26.10,$30.00,"$909,470,305","$8,178,326,113",SOL
"May 24, 2021",$24.50,$32.09,$24.50,$31.28,"$1,346,786,023","$8,529,072,275",SOL
"May 23, 2021",$31.23,$32.44,$19.14,$24.69,"$1,925,832,341","$6,731,076,773",SOL
"May 22, 2021",$38.99,$40.01,$31.25,$31.32,"$1,078,751,751","$8,537,799,811",SOL
"May 21, 2021",$44.45,$47.65,$33.84,$38.81,"$1,769,762,028","$10,581,836,076",SOL
"May 20, 2021",$35.04,$51.26,$32.32,$44.74,"$2,487,748,626","$12,198,547,361",SOL
"May 19, 2021",$56.09,$57.53,$29.43,$35.11,"$2,772,224,999","$9,571,532,158",SOL
"May 18, 2021",$46.66,$58.30,$46.19,$55.91,"$2,025,388,219","$15,243,420,387",SOL
"May 17, 2021",$46.90,$51.88,$43.30,$46.86,"$1,951,921,366","$12,776,663,874",SOL
"May 16, 2021",$43.40,$52.50,$41.92,$47.20,"$1,990,976,771","$12,868,711,981",SOL
"May 15, 2021",$42.70,$45.39,$39.37,$43.46,"$500,445,722","$11,849,179,251",SOL
"May 14, 2021",$41.03,$44.79,$39.99,$42.72,"$504,167,711","$11,646,488,804",SOL
"May 13, 2021",$43.24,$45.42,$37.53,$41.00,"$1,016,860,656","$11,177,548,615",SOL
"May 12, 2021",$44.59,$48.98,$42.46,$42.46,"$1,151,668,076","$11,575,451,927",SOL
"May 11, 2021",$42.87,$45.15,$39.76,$44.58,"$473,731,333","$12,153,486,130",SOL
"May 10, 2021",$44.34,$45.88,$39.56,$42.91,"$499,528,076","$11,698,772,287",SOL
"May 09, 2021",$45.62,$47.12,$43.30,$44.33,"$510,603,312","$12,086,070,502",SOL
"May 08, 2021",$43.15,$46.64,$42.30,$45.56,"$451,056,655","$12,421,778,451",SOL
"May 07, 2021",$43.50,$46.06,$41.44,$43.16,"$514,344,601","$11,765,673,243",SOL
"May 06, 2021",$44.97,$44.97,$42.59,$43.46,"$391,497,018","$11,847,643,596",SOL
"May 05, 2021",$42.64,$45.93,$42.32,$44.92,"$503,781,975","$12,247,847,970",SOL
"May 04, 2021",$45.98,$47.76,$42.31,$42.73,"$682,976,428","$11,649,676,283",SOL
"May 03, 2021",$46.90,$49.01,$45.04,$45.93,"$609,194,252","$12,523,242,921",SOL
"May 02, 2021",$49.50,$49.90,$45.98,$46.89,"$571,072,187","$12,784,244,033",SOL
"May 01, 2021",$42.89,$49.84,$42.03,$49.51,"$859,524,423","$13,490,574,631",SOL
"Apr 30, 2021",$42.50,$44.27,$41.24,$42.96,"$534,976,437","$11,604,419,645",SOL
"Apr 29, 2021",$44.85,$46.07,$40.95,$42.46,"$772,259,307","$11,470,583,798",SOL
"Apr 28, 2021",$43.16,$46.92,$40.67,$44.83,"$1,021,154,320","$12,103,108,335",SOL
"Apr 27, 2021",$43.89,$46.55,$42.56,$43.24,"$904,891,996","$11,674,627,043",SOL
"Apr 26, 2021",$47.54,$48.31,$43.37,$43.98,"$1,357,487,872","$11,867,353,942",SOL
"Apr 25, 2021",$40.85,$48.43,$40.51,$47.37,"$1,583,800,800","$12,782,467,831",SOL
"Apr 24, 2021",$37.26,$43.53,$34.68,$40.74,"$1,101,380,795","$10,993,246,511",SOL
"Apr 23, 2021",$38.90,$41.46,$31.66,$36.98,"$1,612,232,268","$9,984,870,962",SOL
"Apr 22, 2021",$32.68,$40.97,$31.60,$38.88,"$1,638,622,971","$10,498,268,248",SOL
"Apr 21, 2021",$31.68,$35.00,$30.17,$32.51,"$729,130,141","$8,779,135,000",SOL
"Apr 20, 2021",$31.48,$32.70,$28.93,$31.77,"$793,008,154","$8,578,513,611",SOL
"Apr 19, 2021",$32.34,$36.08,$29.93,$31.68,"$1,219,130,981","$8,553,088,910",SOL
"Apr 18, 2021",$25.14,$32.90,$21.54,$32.30,"$1,155,150,688","$8,722,397,355",SOL
"Apr 17, 2021",$25.37,$26.82,$25.10,$25.10,"$201,720,376","$6,777,439,470",SOL
"Apr 16, 2021",$27.82,$28.23,$24.97,$25.40,"$240,665,351","$6,857,767,812",SOL
"Apr 15, 2021",$26.44,$28.25,$25.54,$27.82,"$221,346,739","$7,511,469,370",SOL
"Apr 14, 2021",$27.40,$27.48,$24.79,$26.48,"$342,565,805","$7,148,779,205",SOL
"Apr 13, 2021",$28.54,$28.80,$26.42,$27.44,"$258,183,912","$7,408,116,848",SOL
"Apr 12, 2021",$27.92,$29.86,$26.84,$28.51,"$308,804,546","$7,698,811,333",SOL
"Apr 11, 2021",$26.81,$28.69,$25.58,$27.93,"$232,938,762","$7,542,139,623",SOL
"Apr 10, 2021",$27.65,$28.26,$25.96,$26.84,"$270,235,258","$7,247,692,204",SOL
"Apr 09, 2021",$26.99,$29.01,$26.90,$27.78,"$282,477,938","$7,456,149,620",SOL
"Apr 08, 2021",$26.51,$27.97,$25.72,$27.03,"$377,988,327","$7,256,370,567",SOL
"Apr 07, 2021",$25.15,$27.49,$23.09,$26.48,"$676,846,221","$7,107,155,851",SOL
"Apr 06, 2021",$22.98,$25.35,$21.88,$24.96,"$320,886,935","$6,695,596,354",SOL
"Apr 05, 2021",$23.93,$24.78,$22.81,$22.98,"$264,085,329","$6,166,314,087",SOL
"Apr 04, 2021",$22.53,$25.57,$22.21,$24.06,"$426,557,980","$6,455,269,614",SOL
"Apr 03, 2021",$19.80,$23.83,$19.79,$22.55,"$483,057,740","$6,047,400,068",SOL
"Apr 02, 2021",$19.08,$19.82,$18.57,$19.81,"$131,061,660","$5,312,121,532",SOL
"Apr 01, 2021",$19.42,$20.36,$18.84,$19.08,"$173,731,886","$5,121,089,267",SOL
"Mar 31, 2021",$19.10,$19.80,$18.16,$19.47,"$206,011,018","$5,220,539,301",SOL
"Mar 30, 2021",$18.89,$20.87,$18.89,$19.23,"$264,028,427","$5,158,507,266",SOL
"Mar 29, 2021",$18.08,$18.99,$17.70,$18.85,"$216,748,601","$5,056,832,100",SOL
